#Distance         all[Pr]     all[std]
      3.0250     701.5330       2.6358
      3.0350     704.3860       2.6343
      3.0450     706.6365       2.6518
      3.0550     705.3555       2.6492
      3.0650     703.3520       2.6475
      3.0750     701.4610       2.6461
      3.0850     698.3165       2.6380
      3.0950     694.7055       2.6324
      3.1050     690.3450       2.6244
      3.1150     684.1195       2.6098
      3.1250     677.1495       2.6003
      3.1350     670.7980       2.5867
      3.1450     660.8280       2.5732
      3.1550     651.9405       2.5685
      3.1650     643.1190       2.5420
      3.1750     635.7700       2.5312
      3.1850     629.5735       2.5345
      3.1950     624.7630       2.5221
      3.2050     622.5645       2.5182
      3.2150     620.9230       2.5245
      3.2250     620.5975       2.5129
      3.2350     622.2355       2.5243
      3.2450     625.5160       2.5271
      3.2550     627.0625       2.5360
      3.2650     629.3460       2.5453
      3.2750     630.5625       2.5378
      3.2850     633.1755       2.5531
      3.2950     634.5955       2.5500
      3.3050     637.1665       2.5552
      3.3150     639.5685       2.5656
      3.3250     643.9855       2.5759
      3.3350     648.5780       2.5920
      3.3450     655.3510       2.6022
      3.3550     663.9990       2.6222
      3.3650     673.1155       2.6319
      3.3750     683.3185       2.6520
      3.3850     691.8700       2.6674
      3.3950     699.9200       2.6715
      3.4050     702.1570       2.6843
      3.4150     701.4040       2.6706
      3.4250     695.1105       2.6694
      3.4350     683.5920       2.6612
      3.4450     669.6760       2.6214
      3.4550     654.6025       2.5991
      3.4650     639.5090       2.5596
      3.4750     624.0165       2.5480
      3.4850     611.1280       2.5137
      3.4950     599.8840       2.4957
      3.5050     588.8875       2.4840
      3.5150     582.0145       2.4655
      3.5250     575.1765       2.4497
      3.5350     570.2490       2.4446
      3.5450     568.9520       2.4470
      3.5550     567.8175       2.4504
      3.5650     568.3930       2.4466
      3.5750     572.8545       2.4576
      3.5850     577.5935       2.4725
      3.5950     584.4275       2.4874
      3.6050     592.6965       2.5020
      3.6150     600.8030       2.5177
      3.6250     610.5485       2.5457
      3.6350     620.0795       2.5570
      3.6450     630.1565       2.5794
      3.6550     639.1640       2.5995
      3.6650     648.3410       2.6114
      3.6750     656.7680       2.6335
      3.6850     662.5785       2.6413
      3.6950     668.3755       2.6589
      3.7050     672.7310       2.6646
      3.7150     677.7555       2.6719
      3.7250     680.6070       2.6806
      3.7350     683.3340       2.6900
      3.7450     684.5715       2.6963
      3.7550     689.9605       2.6994
      3.7650     694.9285       2.7123
      3.7750     699.5735       2.7237
      3.7850     707.4720       2.7428
      3.7950     716.1280       2.7611
      3.8050     729.6120       2.7893
      3.8150     743.0340       2.8257
      3.8250     757.7425       2.8540
      3.8350     773.6125       2.8747
      3.8450     788.0230       2.9000
      3.8550     801.3555       2.9398
      3.8650     812.6285       2.9590
      3.8750     820.5010       2.9787
      3.8850     822.3370       2.9856
      3.8950     822.1585       2.9883
      3.9050     818.1225       2.9741
      3.9150     811.8835       2.9764
      3.9250     802.8275       2.9540
      3.9350     792.4120       2.9354
      3.9450     782.7015       2.9230
      3.9550     774.3165       2.9178
      3.9650     768.6355       2.8958
      3.9750     762.0125       2.8933
      3.9850     759.0530       2.8803
      3.9950     756.1015       2.8752
      4.0050     755.9535       2.8762
      4.0150     754.2225       2.8809
      4.0250     755.9030       2.8848
      4.0350     757.8135       2.8868
      4.0450     758.6610       2.8876
      4.0550     763.4500       2.8981
      4.0650     768.5820       2.9153
      4.0750     773.0730       2.9291
      4.0850     777.3560       2.9305
      4.0950     782.6390       2.9415
      4.1050     788.2610       2.9634
      4.1150     793.6470       2.9735
      4.1250     800.3060       2.9827
      4.1350     806.7310       3.0050
      4.1450     814.2635       3.0081
      4.1550     821.1970       3.0212
      4.1650     830.5295       3.0423
      4.1750     837.3320       3.0603
      4.1850     845.0260       3.0736
      4.1950     853.2395       3.0897
      4.2050     862.4005       3.1188
      4.2150     870.8475       3.1148
      4.2250     880.0275       3.1514
      4.2350     889.4000       3.1614
      4.2450     897.5710       3.1822
      4.2550     906.5270       3.2008
      4.2650     912.6515       3.2177
      4.2750     918.6715       3.2222
      4.2850     922.9525       3.2270
      4.2950     926.3705       3.2540
      4.3050     929.8525       3.2526
      4.3150     932.1960       3.2576
      4.3250     931.3455       3.2579
      4.3350     931.2920       3.2766
      4.3450     928.7695       3.2716
      4.3550     926.0275       3.2661
      4.3650     925.2715       3.2692
      4.3750     925.8820       3.2784
      4.3850     925.2700       3.2846
      4.3950     927.4980       3.2859
      4.4050     929.5300       3.3037
      4.4150     934.2075       3.3124
      4.4250     938.6115       3.3123
      4.4350     944.7140       3.3201
      4.4450     953.0590       3.3436
      4.4550     961.5150       3.3591
      4.4650     969.7930       3.3809
      4.4750     979.5115       3.3920
      4.4850     990.1255       3.4055
      4.4950    1001.6015       3.4241
      4.5050    1011.7625       3.4412
      4.5150    1021.3995       3.4681
      4.5250    1032.6665       3.4719
      4.5350    1042.4690       3.5043
      4.5450    1052.1590       3.5051
      4.5550    1058.7910       3.5295
      4.5650    1066.8910       3.5368
      4.5750    1072.9385       3.5489
      4.5850    1079.6070       3.5575
      4.5950    1084.0575       3.5744
      4.6050    1088.7680       3.5777
      4.6150    1092.7755       3.5751
      4.6250    1097.1395       3.5883
      4.6350    1099.8455       3.5901
      4.6450    1103.0860       3.6067
      4.6550    1107.6230       3.6082
      4.6650    1112.0060       3.6148
      4.6750    1115.3500       3.6349
      4.6850    1118.2570       3.6340
      4.6950    1121.8640       3.6429
      4.7050    1126.8855       3.6539
      4.7150    1130.2590       3.6622
      4.7250    1135.4380       3.6644
      4.7350    1137.8395       3.6927
      4.7450    1141.7575       3.6935
      4.7550    1147.0250       3.7022
      4.7650    1149.4365       3.7040
      4.7750    1154.8045       3.7147
      4.7850    1159.2530       3.7226
      4.7950    1164.4135       3.7420
      4.8050    1166.9380       3.7425
      4.8150    1171.8935       3.7548
      4.8250    1177.2840       3.7712
      4.8350    1180.5575       3.7796
      4.8450    1184.4530       3.7810
      4.8550    1190.3965       3.7869
      4.8650    1194.2310       3.8175
      4.8750    1197.6690       3.8188
      4.8850    1202.5630       3.8260
      4.8950    1208.2735       3.8349
      4.9050    1211.7145       3.8440
      4.9150    1215.8220       3.8631
      4.9250    1218.7455       3.8724
      4.9350    1222.4090       3.8657
      4.9450    1224.0940       3.8904
      4.9550    1224.8395       3.8791
      4.9650    1222.1315       3.8911
      4.9750    1218.5150       3.8953
      4.9850    1215.8040       3.8942
      4.9950    1210.3625       3.8895
      5.0050    1205.1005       3.8836
      5.0150    1198.6480       3.8881
      5.0250    1192.5920       3.8813
      5.0350    1187.7480       3.8785
      5.0450    1180.9465       3.8802
      5.0550    1175.7205       3.8756
      5.0650    1170.6090       3.8762
      5.0750    1165.8310       3.8723
      5.0850    1159.0400       3.8740
      5.0950    1153.2515       3.8530
      5.1050    1149.0335       3.8530
      5.1150    1145.0915       3.8468
      5.1250    1140.0280       3.8497
      5.1350    1134.5020       3.8411
      5.1450    1129.9870       3.8506
      5.1550    1124.9580       3.8433
      5.1650    1122.4005       3.8300
      5.1750    1119.4470       3.8350
      5.1850    1115.1220       3.8388
      5.1950    1112.5180       3.8419
      5.2050    1110.5485       3.8396
      5.2150    1107.4920       3.8314
      5.2250    1106.3020       3.8347
      5.2350    1105.3785       3.8383
      5.2450    1102.5260       3.8398
      5.2550    1100.4590       3.8350
      5.2650    1101.3400       3.8404
      5.2750    1100.4820       3.8538
      5.2850    1099.9885       3.8512
      5.2950    1099.8415       3.8345
      5.3050    1100.7345       3.8386
      5.3150    1102.6275       3.8559
      5.3250    1104.2835       3.8528
      5.3350    1104.6840       3.8591
      5.3450    1109.3860       3.8569
      5.3550    1112.6830       3.8665
      5.3650    1114.8720       3.8775
      5.3750    1119.2670       3.8820
      5.3850    1121.4015       3.8871
      5.3950    1126.2865       3.9003
      5.4050    1129.9155       3.9057
      5.4150    1135.2755       3.9083
      5.4250    1138.0925       3.9166
      5.4350    1143.4635       3.9341
      5.4450    1145.9500       3.9322
      5.4550    1151.4150       3.9524
      5.4650    1154.9785       3.9645
      5.4750    1160.1555       3.9666
      5.4850    1164.4795       3.9731
      5.4950    1169.0420       3.9869
      5.5050    1176.4735       4.0053
      5.5150    1180.4270       3.9993
      5.5250    1184.4420       4.0170
      5.5350    1190.5505       4.0275
      5.5450    1195.9685       4.0447
      5.5550    1200.1020       4.0477
      5.5650    1206.1190       4.0531
      5.5750    1211.3220       4.0829
      5.5850    1217.8740       4.0860
      5.5950    1219.9770       4.0844
      5.6050    1226.4835       4.1095
      5.6150    1230.1980       4.1126
      5.6250    1234.2710       4.1176
      5.6350    1238.7480       4.1237
      5.6450    1245.3290       4.1391
      5.6550    1248.6375       4.1356
      5.6650    1252.1505       4.1549
      5.6750    1257.6485       4.1638
      5.6850    1260.0220       4.1660
      5.6950    1262.5220       4.1754
      5.7050    1266.7175       4.1800
      5.7150    1271.3470       4.2005
      5.7250    1274.4615       4.1773
      5.7350    1279.0895       4.1963
      5.7450    1282.7680       4.2064
      5.7550    1283.8320       4.1998
      5.7650    1288.0615       4.2168
      5.7750    1289.9700       4.2087
      5.7850    1292.3415       4.2202
      5.7950    1295.3060       4.2093
      5.8050    1300.5655       4.2281
      5.8150    1301.1725       4.2218
      5.8250    1304.4045       4.2242
      5.8350    1305.1925       4.2430
      5.8450    1306.7440       4.2390
      5.8550    1308.3710       4.2422
      5.8650    1310.6320       4.2427
      5.8750    1310.1460       4.2490
      5.8850    1311.0775       4.2445
      5.8950    1312.6550       4.2416
      5.9050    1313.3100       4.2473
      5.9150    1314.5360       4.2440
      5.9250    1314.9265       4.2437
      5.9350    1318.4350       4.2392
      5.9450    1318.3195       4.2516
      5.9550    1322.1970       4.2517
      5.9650    1322.3750       4.2594
      5.9750    1324.6695       4.2532
      5.9850    1326.5510       4.2613
      5.9950    1330.5710       4.2582
      6.0050    1332.6295       4.2670
      6.0150    1335.7530       4.2928
      6.0250    1338.5365       4.2669
      6.0350    1340.3095       4.2822
      6.0450    1343.3990       4.2895
      6.0550    1346.9860       4.2852
      6.0650    1349.8205       4.2909
      6.0750    1354.5760       4.2869
      6.0850    1354.3655       4.2950
      6.0950    1359.0000       4.2989
      6.1050    1360.5500       4.2935
      6.1150    1363.2210       4.2870
      6.1250    1367.8990       4.3182
      6.1350    1368.5860       4.3018
      6.1450    1373.2575       4.3060
      6.1550    1373.8705       4.3094
      6.1650    1377.7260       4.3072
      6.1750    1381.0570       4.3263
      6.1850    1381.3630       4.3274
      6.1950    1383.7545       4.3246
      6.2050    1386.1405       4.3302
      6.2150    1389.4010       4.3275
      6.2250    1391.5420       4.3329
      6.2350    1392.5420       4.3466
      6.2450    1396.9145       4.3452
      6.2550    1397.5710       4.3478
      6.2650    1401.0965       4.3664
      6.2750    1404.3925       4.3748
      6.2850    1405.0620       4.3672
      6.2950    1409.0245       4.3772
      6.3050    1411.9900       4.3771
      6.3150    1413.8935       4.3719
      6.3250    1417.2010       4.3991
      6.3350    1418.5170       4.3947
      6.3450    1420.9000       4.4203
      6.3550    1424.1870       4.4146
      6.3650    1426.5615       4.4167
      6.3750    1427.4920       4.4118
      6.3850    1430.7825       4.4187
      6.3950    1432.1245       4.4397
      6.4050    1437.8040       4.4347
      6.4150    1438.5730       4.4562
      6.4250    1442.1295       4.4436
      6.4350    1444.7595       4.4505
      6.4450    1448.3935       4.4703
      6.4550    1450.8835       4.4737
      6.4650    1454.5665       4.4615
      6.4750    1457.8820       4.4777
      6.4850    1460.0375       4.4642
      6.4950    1462.2435       4.4812
      6.5050    1465.6540       4.4766
      6.5150    1469.2455       4.4935
      6.5250    1471.1095       4.4970
      6.5350    1473.2010       4.5001
      6.5450    1477.2545       4.4994
      6.5550    1475.9860       4.5043
      6.5650    1481.1745       4.4998
      6.5750    1482.1305       4.4940
      6.5850    1484.7840       4.5208
      6.5950    1484.7190       4.4952
      6.6050    1486.1970       4.5117
      6.6150    1488.5630       4.5202
      6.6250    1491.6625       4.5259
      6.6350    1491.2980       4.5176
      6.6450    1491.8885       4.5080
      6.6550    1493.2905       4.5124
      6.6650    1495.4690       4.5266
