#Distance         all[Pr]     all[std]
      9.4350    1376.1685       4.1310
      9.4450    1374.5025       4.1290
      9.4550    1371.0010       4.1110
      9.4650    1370.9525       4.1191
      9.4750    1369.3010       4.1116
      9.4850    1366.0785       4.1076
      9.4950    1365.0900       4.1002
      9.5050    1365.1535       4.1179
      9.5150    1363.6745       4.1049
      9.5250    1360.9230       4.1059
      9.5350    1359.4585       4.1015
      9.5450    1359.2385       4.0952
      9.5550    1357.0155       4.0915
      9.5650    1356.4815       4.0931
      9.5750    1355.1410       4.0874
      9.5850    1352.4905       4.0728
      9.5950    1350.8040       4.0850
      9.6050    1348.1060       4.0714
      9.6150    1348.5000       4.0615
      9.6250    1346.5030       4.0621
      9.6350    1343.9030       4.0628
      9.6450    1343.4225       4.0676
      9.6550    1342.1880       4.0393
      9.6650    1339.6650       4.0556
      9.6750    1339.5935       4.0630
      9.6850    1338.4530       4.0436
      9.6950    1337.7290       4.0617
      9.7050    1336.3095       4.0457
      9.7150    1333.2065       4.0383
      9.7250    1332.2405       4.0298
      9.7350    1331.7015       4.0346
      9.7450    1331.3230       4.0376
      9.7550    1328.3880       4.0325
      9.7650    1326.9430       4.0225
      9.7750    1327.0630       4.0134
      9.7850    1324.3045       4.0096
      9.7950    1325.0065       4.0097
      9.8050    1322.6995       4.0204
      9.8150    1321.2170       4.0100
      9.8250    1318.7595       4.0020
      9.8350    1318.1240       4.0110
      9.8450    1317.1655       3.9922
      9.8550    1316.4760       3.9883
      9.8650    1314.6650       3.9867
      9.8750    1315.7580       4.0002
      9.8850    1311.9975       3.9869
      9.8950    1312.2000       3.9837
      9.9050    1310.5015       3.9734
      9.9150    1308.3235       3.9803
      9.9250    1309.8040       3.9904
      9.9350    1306.5920       3.9743
      9.9450    1305.5435       3.9647
      9.9550    1305.6725       3.9786
      9.9650    1302.4180       3.9525
      9.9750    1302.4300       3.9609
      9.9850    1300.4950       3.9631
      9.9950    1299.4455       3.9499
     10.0050    1296.8735       3.9485
     10.0150    1296.8320       3.9400
     10.0250    1293.9555       3.9402
     10.0350    1295.9035       3.9393
     10.0450    1292.2315       3.9323
     10.0550    1292.7420       3.9372
     10.0650    1290.0010       3.9297
     10.0750    1289.8260       3.9318
     10.0850    1288.6740       3.9260
     10.0950    1286.9590       3.9171
     10.1050    1283.3785       3.9176
     10.1150    1284.1905       3.9234
     10.1250    1281.9420       3.9125
     10.1350    1281.8025       3.9143
     10.1450    1279.7470       3.8995
     10.1550    1277.2550       3.8951
     10.1650    1276.6400       3.9047
     10.1750    1275.7595       3.8909
     10.1850    1274.2000       3.8935
     10.1950    1272.7075       3.8814
     10.2050    1270.2270       3.8852
     10.2150    1270.1265       3.8721
     10.2250    1267.8030       3.8827
     10.2350    1267.6040       3.8754
     10.2450    1265.6685       3.8703
     10.2550    1264.1650       3.8549
     10.2650    1261.5235       3.8585
     10.2750    1261.7925       3.8649
     10.2850    1259.5945       3.8680
     10.2950    1257.8185       3.8575
     10.3050    1257.1075       3.8516
     10.3150    1255.0465       3.8457
     10.3250    1254.6970       3.8522
     10.3350    1251.4650       3.8365
     10.3450    1250.7135       3.8322
     10.3550    1248.9420       3.8318
     10.3650    1248.4120       3.8284
     10.3750    1247.4980       3.8245
     10.3850    1244.4570       3.8319
     10.3950    1243.0405       3.8159
     10.4050    1242.4155       3.8083
     10.4150    1240.8085       3.8239
     10.4250    1238.2165       3.8076
     10.4350    1236.5395       3.8113
     10.4450    1235.5365       3.8071
     10.4550    1234.3845       3.7986
     10.4650    1232.3375       3.7836
     10.4750    1230.2180       3.7851
     10.4850    1228.3515       3.7916
     10.4950    1226.8785       3.7833
     10.5050    1224.9145       3.7919
     10.5150    1223.7915       3.7676
     10.5250    1223.1715       3.7801
     10.5350    1220.0735       3.7702
     10.5450    1218.3800       3.7740
     10.5550    1218.2625       3.7633
     10.5650    1213.8295       3.7562
     10.5750    1213.3215       3.7474
     10.5850    1212.6220       3.7515
     10.5950    1211.8280       3.7572
     10.6050    1207.8285       3.7489
     10.6150    1206.6945       3.7442
     10.6250    1205.6565       3.7366
     10.6350    1202.2330       3.7262
     10.6450    1202.0485       3.7308
     10.6550    1199.6290       3.7248
     10.6650    1196.9420       3.7070
     10.6750    1196.9965       3.7071
     10.6850    1194.7550       3.7185
     10.6950    1193.3190       3.7099
     10.7050    1191.4760       3.7050
     10.7150    1188.0020       3.6945
     10.7250    1188.7830       3.7048
     10.7350    1184.6410       3.6900
     10.7450    1184.1825       3.6832
     10.7550    1181.1895       3.6962
     10.7650    1180.5915       3.6785
     10.7750    1179.1795       3.6735
     10.7850    1176.4785       3.6740
     10.7950    1177.0995       3.6730
     10.8050    1174.3165       3.6736
     10.8150    1171.4035       3.6620
     10.8250    1170.4285       3.6556
     10.8350    1168.0595       3.6529
     10.8450    1167.4160       3.6626
     10.8550    1165.4125       3.6573
     10.8650    1163.0660       3.6420
     10.8750    1162.0395       3.6439
     10.8850    1160.7625       3.6419
     10.8950    1158.9455       3.6257
     10.9050    1156.2430       3.6247
     10.9150    1153.5080       3.6226
     10.9250    1153.9755       3.6126
     10.9350    1152.0540       3.6123
     10.9450    1149.6470       3.6150
     10.9550    1147.5455       3.6085
     10.9650    1147.0190       3.6124
     10.9750    1144.4180       3.6076
     10.9850    1143.6685       3.6156
     10.9950    1141.5345       3.6036
     11.0050    1137.8755       3.5833
     11.0150    1137.9600       3.5948
     11.0250    1134.6570       3.5875
     11.0350    1134.0205       3.5838
     11.0450    1132.2315       3.5849
     11.0550    1130.4035       3.5672
     11.0650    1128.2905       3.5765
     11.0750    1126.0665       3.5615
     11.0850    1125.6185       3.5695
     11.0950    1123.1465       3.5658
     11.1050    1119.7595       3.5614
     11.1150    1120.0845       3.5606
     11.1250    1116.9005       3.5419
     11.1350    1115.8155       3.5442
     11.1450    1113.5515       3.5420
     11.1550    1111.2380       3.5327
     11.1650    1109.3885       3.5320
     11.1750    1107.0085       3.5247
     11.1850    1105.4160       3.5157
     11.1950    1102.8855       3.5353
     11.2050    1101.5930       3.5120
     11.2150    1100.3595       3.5147
     11.2250    1099.0310       3.5228
     11.2350    1096.3105       3.5095
     11.2450    1094.2230       3.4941
     11.2550    1093.2680       3.4943
     11.2650    1090.5975       3.4903
     11.2750    1089.1045       3.4878
     11.2850    1086.6990       3.4841
     11.2950    1085.2900       3.4872
     11.3050    1083.7890       3.4847
     11.3150    1080.9785       3.4748
     11.3250    1079.3220       3.4739
     11.3350    1077.3250       3.4633
     11.3450    1075.6415       3.4695
     11.3550    1074.3465       3.4654
     11.3650    1071.0590       3.4647
     11.3750    1068.8345       3.4555
     11.3850    1066.6105       3.4459
     11.3950    1065.0515       3.4494
     11.4050    1063.4800       3.4425
     11.4150    1061.2765       3.4313
     11.4250    1059.9430       3.4354
     11.4350    1058.4345       3.4301
     11.4450    1057.9630       3.4256
     11.4550    1055.6115       3.4240
     11.4650    1053.6770       3.4249
     11.4750    1050.9980       3.4142
     11.4850    1048.0905       3.4148
     11.4950    1046.8750       3.4109
     11.5050    1044.6065       3.4044
     11.5150    1044.2500       3.4068
     11.5250    1041.8115       3.4014
     11.5350    1040.8600       3.3893
     11.5450    1037.4810       3.3961
     11.5550    1034.0405       3.3934
     11.5650    1034.2020       3.3883
     11.5750    1032.5710       3.3803
     11.5850    1031.0510       3.3732
     11.5950    1030.0315       3.3782
     11.6050    1026.2395       3.3679
     11.6150    1025.7750       3.3657
     11.6250    1022.7305       3.3663
     11.6350    1020.1860       3.3614
     11.6450    1019.4660       3.3586
     11.6550    1017.9895       3.3550
     11.6650    1017.3485       3.3513
     11.6750    1014.2585       3.3440
     11.6850    1012.1695       3.3423
     11.6950    1011.0260       3.3424
     11.7050    1009.2875       3.3341
     11.7150    1006.2975       3.3355
     11.7250    1005.2130       3.3379
     11.7350    1003.5395       3.3411
     11.7450    1000.8805       3.3346
     11.7550    1000.2275       3.3200
     11.7650     998.3930       3.3124
     11.7750     997.9690       3.3257
     11.7850     994.7260       3.3297
     11.7950     991.8605       3.3231
     11.8050     990.8260       3.3000
     11.8150     988.2710       3.3068
     11.8250     986.7075       3.2911
     11.8350     984.1980       3.2928
     11.8450     982.5205       3.3001
     11.8550     981.4550       3.2951
     11.8650     978.9575       3.2953
     11.8750     977.9225       3.2906
     11.8850     977.5575       3.2853
     11.8950     973.9795       3.2775
     11.9050     971.9530       3.2750
     11.9150     969.2945       3.2788
     11.9250     968.3395       3.2686
     11.9350     966.2140       3.2635
     11.9450     964.2960       3.2615
     11.9550     962.8740       3.2565
     11.9650     960.3120       3.2609
     11.9750     959.3620       3.2622
     11.9850     958.3115       3.2540
     11.9950     953.5535       3.2478
     12.0050     955.0935       3.2458
     12.0150     951.5795       3.2418
     12.0250     951.4490       3.2386
     12.0350     947.5070       3.2374
     12.0450     946.6670       3.2428
     12.0550     944.7830       3.2401
     12.0650     944.0480       3.2285
     12.0750     942.4060       3.2430
     12.0850     938.3405       3.2271
     12.0950     938.7130       3.2276
     12.1050     934.8210       3.2163
     12.1150     933.5055       3.2210
     12.1250     932.2865       3.2120
     12.1350     930.6820       3.2186
     12.1450     927.8380       3.1998
     12.1550     927.4105       3.2108
     12.1650     925.9360       3.2045
     12.1750     922.9330       3.1891
     12.1850     922.1290       3.2017
     12.1950     919.0715       3.1906
     12.2050     918.7085       3.1967
     12.2150     917.3895       3.2031
     12.2250     913.4525       3.1911
     12.2350     912.6620       3.1855
     12.2450     910.6295       3.1850
     12.2550     908.9045       3.1792
     12.2650     908.7550       3.1791
     12.2750     905.1090       3.1762
     12.2850     903.5420       3.1756
     12.2950     901.5380       3.1661
     12.3050     899.9155       3.1700
     12.3150     899.3130       3.1689
     12.3250     895.5400       3.1542
     12.3350     895.2490       3.1642
     12.3450     894.1495       3.1580
     12.3550     890.9665       3.1519
     12.3650     889.7390       3.1517
     12.3750     887.8805       3.1518
     12.3850     885.0990       3.1521
     12.3950     883.7085       3.1431
     12.4050     880.8010       3.1430
     12.4150     880.8790       3.1417
     12.4250     879.1955       3.1393
     12.4350     877.6665       3.1340
     12.4450     874.5900       3.1304
     12.4550     873.6200       3.1403
     12.4650     871.6260       3.1152
     12.4750     870.2480       3.1308
     12.4850     867.9670       3.1335
     12.4950     866.0420       3.1106
     12.5050     863.1495       3.1219
     12.5150     862.4380       3.1142
     12.5250     859.0345       3.1099
     12.5350     859.1335       3.1059
     12.5450     857.4710       3.1052
     12.5550     856.5675       3.1086
     12.5650     853.6345       3.1029
     12.5750     852.1760       3.1101
     12.5850     849.7360       3.1007
     12.5950     848.6995       3.0968
     12.6050     845.6850       3.0988
     12.6150     843.9815       3.0931
     12.6250     841.3045       3.0857
     12.6350     839.9460       3.0832
     12.6450     839.4350       3.0868
     12.6550     837.1540       3.0788
     12.6650     836.2920       3.0938
     12.6750     833.5510       3.0764
     12.6850     831.6685       3.0759
     12.6950     829.1570       3.0771
     12.7050     826.8825       3.0757
     12.7150     826.9655       3.0712
     12.7250     825.3990       3.0838
     12.7350     822.6625       3.0624
     12.7450     819.5730       3.0646
     12.7550     818.2820       3.0622
     12.7650     816.4220       3.0523
     12.7750     814.6395       3.0562
     12.7850     812.7550       3.0610
     12.7950     811.5280       3.0635
     12.8050     807.9650       3.0599
     12.8150     807.5360       3.0516
     12.8250     807.3935       3.0672
     12.8350     804.4140       3.0458
     12.8450     801.8035       3.0423
     12.8550     800.8065       3.0508
     12.8650     798.6275       3.0433
     12.8750     795.7290       3.0408
     12.8850     794.3410       3.0289
     12.8950     793.6720       3.0422
     12.9050     791.8095       3.0238
     12.9150     789.5705       3.0334
     12.9250     787.7960       3.0199
     12.9350     786.0270       3.0302
     12.9450     783.9355       3.0289
     12.9550     780.7870       3.0232
     12.9650     780.6620       3.0258
     12.9750     779.3160       3.0167
     12.9850     777.5035       3.0219
     12.9950     775.1845       3.0224
     13.0050     773.6355       3.0222
     13.0150     772.2275       3.0088
     13.0250     769.4935       3.0153
     13.0350     769.0885       3.0143
     13.0450     766.3900       3.0126
     13.0550     765.6685       3.0096
     13.0650     762.8745       3.0063
     13.0750     762.1765       3.0029
     13.0850     760.1980       3.0040
     13.0950     757.0310       2.9880
     13.1050     754.3615       2.9963
     13.1150     754.1260       2.9887
     13.1250     752.6640       2.9856
     13.1350     750.9425       2.9896
     13.1450     748.9790       2.9930
     13.1550     747.0795       2.9777
     13.1650     745.7005       2.9920
     13.1750     743.4755       2.9689
     13.1850     743.2010       2.9748
     13.1950     741.3515       2.9885
     13.2050     739.2970       2.9784
     13.2150     736.6190       2.9695
     13.2250     735.5780       2.9684
     13.2350     733.4915       2.9668
     13.2450     732.3595       2.9620
     13.2550     730.5815       2.9698
     13.2650     728.6675       2.9609
     13.2750     727.6655       2.9600
     13.2850     725.9880       2.9596
     13.2950     723.6575       2.9611
     13.3050     722.7610       2.9466
     13.3150     720.5175       2.9476
     13.3250     719.1330       2.9440
     13.3350     716.9860       2.9533
     13.3450     715.4460       2.9370
     13.3550     714.7150       2.9409
     13.3650     712.8690       2.9479
     13.3750     711.3335       2.9382
     13.3850     709.2005       2.9365
     13.3950     707.7410       2.9454
     13.4050     705.5290       2.9357
     13.4150     705.0275       2.9340
     13.4250     703.1795       2.9380
     13.4350     700.4025       2.9308
     13.4450     699.4465       2.9361
     13.4550     698.4465       2.9306
     13.4650     696.1995       2.9274
     13.4750     694.5625       2.9164
     13.4850     691.5180       2.9162
     13.4950     691.3055       2.9206
     13.5050     689.4600       2.9169
     13.5150     688.7220       2.9141
     13.5250     687.0910       2.9100
     13.5350     684.3890       2.9110
     13.5450     683.2155       2.9161
     13.5550     681.5950       2.9115
     13.5650     680.0655       2.9087
     13.5750     679.0870       2.9074
     13.5850     676.5305       2.9099
     13.5950     675.8335       2.9065
     13.6050     674.6565       2.9010
     13.6150     672.3695       2.9067
     13.6250     670.8645       2.9062
     13.6350     669.8955       2.8946
     13.6450     667.6755       2.8999
     13.6550     664.9465       2.8881
     13.6650     663.9055       2.8915
     13.6750     663.1710       2.8834
     13.6850     661.5460       2.8908
     13.6950     660.1730       2.8957
     13.7050     658.5800       2.8890
     13.7150     656.0710       2.8871
     13.7250     654.9225       2.8841
     13.7350     654.3130       2.8838
     13.7450     651.5820       2.8820
     13.7550     650.1935       2.8777
     13.7650     649.4230       2.8716
     13.7750     647.1325       2.8793
     13.7850     644.8580       2.8814
     13.7950     643.6965       2.8681
     13.8050     643.3250       2.8787
     13.8150     640.7075       2.8712
     13.8250     640.0555       2.8683
     13.8350     638.1690       2.8699
     13.8450     637.0910       2.8597
     13.8550     635.1475       2.8622
     13.8650     633.8005       2.8799
     13.8750     631.9650       2.8665
     13.8850     631.8390       2.8743
     13.8950     628.6865       2.8597
     13.9050     628.1465       2.8671
     13.9150     625.5700       2.8583
     13.9250     624.1910       2.8565
     13.9350     623.5840       2.8557
     13.9450     621.9390       2.8555
     13.9550     620.5760       2.8583
     13.9650     618.3745       2.8467
     13.9750     616.8295       2.8543
     13.9850     615.6605       2.8466
     13.9950     613.9030       2.8408
     14.0050     612.9405       2.8498
     14.0150     611.6060       2.8454
     14.0250     609.9655       2.8430
     14.0350     609.2840       2.8364
     14.0450     606.9325       2.8383
     14.0550     605.5695       2.8386
     14.0650     605.0560       2.8499
     14.0750     601.9315       2.8346
     14.0850     601.5315       2.8363
     14.0950     599.9320       2.8390
     14.1050     599.7800       2.8464
     14.1150     598.0010       2.8342
     14.1250     595.4945       2.8431
     14.1350     594.6440       2.8253
     14.1450     593.3430       2.8275
     14.1550     592.0075       2.8317
     14.1650     589.6405       2.8318
     14.1750     588.0250       2.8234
     14.1850     587.2950       2.8309
     14.1950     585.8915       2.8229
     14.2050     585.0290       2.8289
     14.2150     583.5415       2.8273
     14.2250     581.7100       2.8226
     14.2350     580.1155       2.8210
     14.2450     578.2135       2.8151
     14.2550     576.3230       2.8118
     14.2650     575.9665       2.8188
     14.2750     574.8835       2.8135
     14.2850     574.2010       2.8135
     14.2950     572.0335       2.8049
     14.3050     570.6330       2.8069
     14.3150     569.1425       2.8113
     14.3250     568.2295       2.8052
     14.3350     566.9695       2.8103
     14.3450     564.4585       2.8079
     14.3550     564.0825       2.8042
     14.3650     562.5465       2.7999
     14.3750     560.9075       2.7997
     14.3850     559.1110       2.7908
     14.3950     557.8870       2.7950
     14.4050     556.8875       2.7991
     14.4150     555.3075       2.7993
     14.4250     553.9215       2.7908
     14.4350     552.7950       2.8047
     14.4450     552.0135       2.7875
     14.4550     550.3810       2.7940
     14.4650     548.8685       2.8012
     14.4750     547.9335       2.7898
     14.4850     546.3505       2.7909
     14.4950     545.5385       2.7822
     14.5050     543.1515       2.7783
     14.5150     541.8680       2.7827
     14.5250     541.4955       2.7793
     14.5350     539.3960       2.7824
     14.5450     538.1675       2.7865
     14.5550     535.7555       2.7714
     14.5650     536.0215       2.7764
     14.5750     532.7060       2.7691
     14.5850     531.9310       2.7659
     14.5950     531.2745       2.7630
     14.6050     530.8090       2.7788
     14.6150     529.7890       2.7738
     14.6250     527.9420       2.7674
     14.6350     527.2440       2.7808
     14.6450     524.7655       2.7704
     14.6550     524.8790       2.7714
     14.6650     522.2500       2.7609
     14.6750     520.3630       2.7694
     14.6850     519.1000       2.7546
     14.6950     518.1860       2.7625
     14.7050     517.2710       2.7676
     14.7150     515.9295       2.7533
     14.7250     515.2705       2.7611
     14.7350     512.6690       2.7576
     14.7450     511.4520       2.7546
     14.7550     510.7205       2.7516
     14.7650     509.2100       2.7487
     14.7750     507.4780       2.7491
     14.7850     506.2300       2.7440
     14.7950     505.5490       2.7459
     14.8050     503.9630       2.7449
     14.8150     502.4140       2.7466
     14.8250     501.7475       2.7450
     14.8350     500.5350       2.7404
     14.8450     497.6680       2.7293
     14.8550     497.8875       2.7366
     14.8650     495.7935       2.7358
     14.8750     494.9205       2.7314
     14.8850     494.1350       2.7332
     14.8950     493.4290       2.7379
     14.9050     491.7375       2.7343
     14.9150     490.3135       2.7258
     14.9250     488.7025       2.7225
     14.9350     487.1050       2.7296
     14.9450     486.5035       2.7275
     14.9550     485.0040       2.7285
     14.9650     484.2095       2.7270
     14.9750     483.1355       2.7263
     14.9850     481.9175       2.7204
     14.9950     480.5190       2.7271
     15.0050     478.1005       2.7234
     15.0150     478.8400       2.7273
     15.0250     477.2215       2.7149
     15.0350     475.3820       2.7144
     15.0450     474.6955       2.7177
     15.0550     471.0080       2.7046
     15.0650     471.7205       2.7176
     15.0750     470.6145       2.7007
     15.0850     469.5525       2.7105
     15.0950     468.3650       2.7096
     15.1050     466.4065       2.7089
     15.1150     465.0775       2.7039
     15.1250     464.1815       2.6999
     15.1350     462.5110       2.7003
     15.1450     462.2930       2.7010
     15.1550     460.3090       2.6978
     15.1650     460.0025       2.6967
     15.1750     458.9465       2.6955
     15.1850     456.3490       2.6944
     15.1950     455.7405       2.6977
     15.2050     454.9495       2.6948
     15.2150     453.4240       2.6874
     15.2250     451.5370       2.6814
     15.2350     450.8385       2.6866
     15.2450     449.5780       2.6965
     15.2550     448.6960       2.6860
     15.2650     447.4465       2.6892
     15.2750     446.2060       2.6766
     15.2850     445.2340       2.6804
     15.2950     444.4270       2.6795
     15.3050     442.5110       2.6718
     15.3150     441.6810       2.6757
     15.3250     440.8180       2.6756
     15.3350     438.4940       2.6720
     15.3450     438.8020       2.6751
     15.3550     437.0410       2.6760
     15.3650     435.3085       2.6692
     15.3750     434.3395       2.6641
     15.3850     433.1965       2.6649
     15.3950     431.6795       2.6648
     15.4050     431.6475       2.6628
     15.4150     430.0550       2.6644
     15.4250     428.7305       2.6674
     15.4350     428.2855       2.6667
     15.4450     426.3235       2.6599
     15.4550     425.7225       2.6599
     15.4650     424.2500       2.6527
     15.4750     424.0045       2.6574
     15.4850     421.3260       2.6493
     15.4950     421.0555       2.6487
     15.5050     419.8635       2.6537
     15.5150     418.2105       2.6447
     15.5250     417.8810       2.6566
     15.5350     416.1065       2.6429
     15.5450     415.2340       2.6425
     15.5550     413.3535       2.6371
     15.5650     412.6395       2.6485
     15.5750     411.6380       2.6408
     15.5850     410.6390       2.6436
     15.5950     409.9225       2.6360
     15.6050     407.8760       2.6366
     15.6150     407.4725       2.6259
     15.6250     406.3755       2.6339
     15.6350     405.1330       2.6315
     15.6450     404.9445       2.6318
     15.6550     402.1720       2.6192
     15.6650     402.1550       2.6265
     15.6750     401.4555       2.6250
     15.6850     399.0530       2.6091
     15.6950     398.8395       2.6183
     15.7050     397.4165       2.6133
     15.7150     396.0360       2.6146
     15.7250     395.5250       2.6165
     15.7350     394.6055       2.6129
     15.7450     393.9230       2.6117
     15.7550     392.9060       2.6113
     15.7650     392.1105       2.6201
     15.7750     390.0235       2.6110
     15.7850     388.7995       2.6007
     15.7950     388.9320       2.6092
     15.8050     387.2365       2.6079
     15.8150     386.2420       2.6029
     15.8250     385.2225       2.5946
     15.8350     384.4165       2.6001
     15.8450     382.9660       2.5951
     15.8550     381.4825       2.5867
     15.8650     380.6320       2.5859
     15.8750     379.0230       2.5843
     15.8850     377.9270       2.5944
     15.8950     378.3960       2.5907
     15.9050     377.0015       2.5899
     15.9150     376.1305       2.5891
     15.9250     374.8030       2.5867
     15.9350     373.3100       2.5829
     15.9450     373.2645       2.5827
     15.9550     371.5570       2.5796
     15.9650     370.1600       2.5694
     15.9750     369.5315       2.5757
     15.9850     368.0160       2.5650
     15.9950     367.3020       2.5707
     16.0050     366.6305       2.5758
     16.0150     364.9405       2.5626
     16.0250     364.0090       2.5703
     16.0350     362.9660       2.5569
     16.0450     361.7550       2.5586
     16.0550     361.9205       2.5653
     16.0650     360.7295       2.5507
     16.0750     360.0250       2.5641
     16.0850     358.3310       2.5516
     16.0950     357.6965       2.5518
     16.1050     357.3645       2.5602
     16.1150     356.0340       2.5464
     16.1250     354.9575       2.5479
     16.1350     354.3570       2.5489
     16.1450     352.5860       2.5461
     16.1550     351.6585       2.5390
     16.1650     349.6790       2.5308
     16.1750     350.1255       2.5401
     16.1850     349.0290       2.5397
     16.1950     348.1185       2.5341
     16.2050     346.3905       2.5297
     16.2150     345.7135       2.5270
     16.2250     344.8095       2.5291
     16.2350     344.7510       2.5321
     16.2450     342.4460       2.5215
     16.2550     342.3760       2.5309
     16.2650     340.3500       2.5196
     16.2750     340.7780       2.5276
     16.2850     339.9055       2.5236
     16.2950     338.8605       2.5159
     16.3050     337.0835       2.5133
     16.3150     336.4115       2.5136
     16.3250     335.3705       2.5135
     16.3350     334.2510       2.5044
     16.3450     334.1210       2.5070
     16.3550     333.5675       2.5059
     16.3650     332.0110       2.5039
     16.3750     331.1440       2.4987
     16.3850     329.9545       2.4983
     16.3950     329.1830       2.4970
     16.4050     328.4890       2.4947
     16.4150     327.2980       2.4874
     16.4250     326.5090       2.4905
     16.4350     325.7645       2.4846
     16.4450     324.4040       2.4842
     16.4550     323.5680       2.4748
     16.4650     323.6745       2.4838
     16.4750     321.6000       2.4731
     16.4850     321.9110       2.4753
     16.4950     320.0780       2.4729
     16.5050     318.8925       2.4698
     16.5150     318.6500       2.4713
     16.5250     317.5810       2.4680
     16.5350     315.9395       2.4619
     16.5450     315.7735       2.4666
     16.5550     315.2965       2.4634
     16.5650     314.0785       2.4617
     16.5750     313.0115       2.4610
     16.5850     312.3100       2.4603
     16.5950     312.1730       2.4560
     16.6050     309.8140       2.4470
     16.6150     309.8705       2.4528
     16.6250     309.1230       2.4513
     16.6350     308.3705       2.4524
     16.6450     307.2570       2.4453
     16.6550     306.4890       2.4443
     16.6650     306.3825       2.4392
     16.6750     305.1165       2.4431
     16.6850     303.4300       2.4316
     16.6950     303.0030       2.4316
     16.7050     301.6460       2.4263
     16.7150     301.0965       2.4322
     16.7250     300.6370       2.4281
     16.7350     299.7935       2.4265
     16.7450     299.6835       2.4253
     16.7550     297.8485       2.4152
     16.7650     297.3130       2.4212
     16.7750     296.4840       2.4157
     16.7850     295.4270       2.4119
     16.7950     294.5175       2.4100
     16.8050     293.3740       2.4196
     16.8150     292.6660       2.4119
     16.8250     292.6420       2.4089
     16.8350     291.4875       2.4030
     16.8450     291.2375       2.4055
     16.8550     289.9595       2.3985
     16.8650     289.2010       2.4009
     16.8750     287.8060       2.3926
     16.8850     287.5780       2.3922
     16.8950     286.9305       2.3923
     16.9050     285.8510       2.3865
     16.9150     284.8655       2.3894
     16.9250     284.2115       2.3814
     16.9350     283.0530       2.3861
     16.9450     282.2600       2.3815
     16.9550     281.7120       2.3753
     16.9650     281.0090       2.3813
     16.9750     279.8360       2.3723
     16.9850     278.9445       2.3681
     16.9950     278.1255       2.3634
     17.0050     277.7025       2.3671
     17.0150     277.4230       2.3656
     17.0250     275.9395       2.3628
     17.0350     275.7400       2.3612
     17.0450     274.8215       2.3571
     17.0550     273.6855       2.3559
     17.0650     273.1265       2.3521
     17.0750     272.2270       2.3513
     17.0850     270.7265       2.3362
     17.0950     270.0685       2.3405
     17.1050     269.8900       2.3449
     17.1150     269.7020       2.3445
     17.1250     267.9670       2.3322
     17.1350     267.3750       2.3428
     17.1450     266.2890       2.3307
     17.1550     265.7145       2.3302
     17.1650     264.9005       2.3250
     17.1750     264.9465       2.3300
     17.1850     263.9295       2.3197
     17.1950     263.2350       2.3291
     17.2050     261.9105       2.3226
     17.2150     262.1130       2.3199
     17.2250     260.8360       2.3144
     17.2350     260.5560       2.3227
     17.2450     259.0915       2.3127
     17.2550     258.6585       2.3084
     17.2650     257.7580       2.3095
     17.2750     257.5830       2.3099
     17.2850     255.7850       2.3013
     17.2950     255.3755       2.2964
     17.3050     254.6830       2.2977
     17.3150     253.5840       2.2935
     17.3250     253.5960       2.2933
     17.3350     252.3665       2.2845
     17.3450     251.2595       2.2893
     17.3550     251.1970       2.2841
     17.3650     250.2735       2.2840
     17.3750     249.5875       2.2850
     17.3850     248.5795       2.2812
     17.3950     248.3315       2.2789
     17.4050     247.2700       2.2758
     17.4150     247.5115       2.2762
     17.4250     245.7000       2.2661
     17.4350     245.1740       2.2608
     17.4450     244.2245       2.2572
     17.4550     243.9410       2.2627
     17.4650     242.9335       2.2586
     17.4750     241.5300       2.2551
     17.4850     242.0250       2.2604
     17.4950     240.9180       2.2500
     17.5050     241.0015       2.2549
     17.5150     239.8730       2.2468
     17.5250     239.5370       2.2511
     17.5350     238.0515       2.2418
     17.5450     237.9555       2.2437
     17.5550     237.2440       2.2406
     17.5650     236.5330       2.2377
     17.5750     235.8900       2.2412
     17.5850     235.2070       2.2303
     17.5950     234.4205       2.2245
     17.6050     233.6140       2.2311
     17.6150     233.3295       2.2275
     17.6250     232.2380       2.2228
     17.6350     231.3390       2.2178
     17.6450     231.1665       2.2216
     17.6550     229.6980       2.2080
     17.6650     229.4040       2.2137
     17.6750     228.9350       2.2076
     17.6850     227.1475       2.2076
     17.6950     227.0805       2.1969
     17.7050     226.5475       2.1979
     17.7150     225.8165       2.1994
     17.7250     225.1025       2.1969
     17.7350     224.4400       2.1889
     17.7450     223.9705       2.1902
     17.7550     222.7630       2.1833
     17.7650     222.3060       2.1875
     17.7750     222.1135       2.1888
     17.7850     221.3570       2.1813
     17.7950     220.7445       2.1834
     17.8050     220.1910       2.1759
     17.8150     218.8795       2.1709
     17.8250     218.9560       2.1752
     17.8350     217.9085       2.1653
     17.8450     217.5140       2.1688
     17.8550     216.8395       2.1637
     17.8650     215.7980       2.1607
     17.8750     215.2135       2.1548
     17.8850     215.6435       2.1602
     17.8950     214.1010       2.1472
     17.9050     213.9380       2.1513
     17.9150     213.1310       2.1532
     17.9250     212.6215       2.1541
     17.9350     211.3925       2.1439
     17.9450     210.7640       2.1385
     17.9550     210.1790       2.1404
     17.9650     209.8945       2.1391
     17.9750     208.8270       2.1359
     17.9850     208.9460       2.1416
     17.9950     207.7990       2.1251
     18.0050     207.1420       2.1262
     18.0150     206.6845       2.1321
